title,vegetarian,vegan,glutenFree,dairyFree,ingredients,sustainable,veryHealthy,lowFodmap,ketogenic,healthScore,percentProtein,percentFat,percentCarbs,calories,Fat/g,Vitamin E/mg,Carbohydrates/g,Magnesium/mg,Cholesterol/mg,Zinc/mg,Sodium/mg,Copper/mg,Sugar/g,Fiber/g,Alcohol/g,Diabetes,High Protein,High Fat,Low Carbohydrate,Obesity,BP,Heart
Anchovy Vinaigrette,0,0,1,1,"bell pepper,club soda,cream-style corn,dijon mustard,extra virgin olive oil,food dye,food dye,oil-packed anchovies,red wine vinegar,wine,kids,kitchen & tabletop",0,0,1,0,9.0,5.55,67.1,27.35,234.07,9.57,2.57,8.78,28.23,2.55,0.47,138.15,0.04,4.34,1.62,15.39,0,0,1,0,0,1,1
No-knead Fennel & Anchovy Pizza,0,0,0,0,"anchovy,cornmeal,fennel,fennel bulb,flour,lemon zest,mozzarella cheese,olive oil,pepper,pizza dough",0,0,0,0,50.0,12.97,24.18,62.85,673.11,19.12,1.41,111.8,117.37,16.53,1.94,1398.69,0.45,8.33,22.35,0.0,0,0,0,0,1,1,1
"Pan-roasted East Coast Skate, Anchovy And Broccoli Pickle",0,0,1,0,"capers,extra virgin olive oil,garlic,green chilli,green olives,ice water,juice of lime,sea-salt,sherry vinegar,skate wings,tarragon,anchovies,unsalted butter",0,0,0,0,2.0,1.8,93.88,4.32,487.36,52.31,7.56,5.41,17.85,18.23,0.23,1103.6,0.12,0.9,2.19,0.0,1,0,1,1,0,1,1
"Anchovies, Beans And Rocket",0,0,1,1,"anchovies in extra virgin olive oil,borlotti beans,extra firm tofu,extra-virgin olive oil,parsley,pinenuts,pinto beans,rocket",0,1,0,0,100.0,45.14,31.82,23.04,1737.43,61.63,3.4,100.41,771.9,2.91,16.8,1640.68,5.27,24.96,22.35,0.0,0,1,0,0,1,1,1
Anchovy And Onion Tart,0,0,0,1,"active yeast,anchovy filets,bouquet garni,flour,olive oil,olives,onions,rosemary,salt,salt and pepper",0,0,0,0,19.0,9.43,32.44,58.13,453.01,16.45,2.42,66.33,38.62,4.8,1.01,1491.51,0.2,8.24,5.61,0.0,0,0,0,0,1,1,1
"Cauliflower, Anchovies and Tomatoes",0,0,0,1,"anchovies,balsamic vinegar,bell pepper,capers,cauliflower,cherry tomatoes,chives,extra virgin olive oil,fish,parsley,red chilli pepper,salad mix,salt,tomatoes,vegetarian bacon",0,1,0,0,92.0,9.24,54.57,36.19,242.49,15.35,5.13,22.91,55.83,2.92,0.96,314.57,0.29,14.56,5.2,0.0,0,0,1,0,0,1,1
Anchovy Fries with Smoked Paprika Aioli,0,0,0,1,"anchovies,eggs,flour,garlic clove,hungarian paprika,kosher salt,lemon juice,lemon wedges,olive oil,panko bread crumbs,paprika,vegetable oil",0,0,0,0,9.0,17.85,64.8,17.35,379.83,27.3,3.75,16.44,34.9,113.12,1.53,477.11,0.19,1.11,1.11,0.0,1,0,1,1,0,1,1
Sliced Baguette With Radishes And Anchovy Butter,0,0,0,0,"anchovy,baguette,chives,coarse kosher salt,fresh chives,radishes,unsalted butter",0,0,0,0,0.0,3.0,87.37,9.63,59.43,5.88,0.18,1.46,0.0,15.55,0.0,212.16,0.0,0.1,0.0,0.0,1,0,1,1,0,1,1
Cook the Book: Braided Beef with Anchovies and Olives,0,0,1,1,"anchovy,bell pepper,extra virgin olive oil,kalamata olives,loin roast",0,1,1,0,99.0,59.16,37.11,3.73,592.97,23.67,3.24,5.36,110.63,236.48,6.95,542.83,0.27,3.25,2.31,0.0,1,1,0,1,1,1,1
Potato Salad With Green Goddess Dressing,0,0,1,0,"anchovies,basil,lemon juice,new potatoes,olive oil,parsley,red onion,red wine vinegar,salt,strained yogurt,sugar,tarragon",0,0,0,0,37.0,13.73,17.84,68.43,260.24,5.29,0.73,45.64,68.74,2.47,1.01,224.62,0.29,4.82,5.69,0.0,0,0,0,0,1,1,1
"Skate, Chicory, and Anchovy",0,0,1,1,"anchovy,bell pepper,black peppercorns,capers,celery,chicory,curly parsley,curly parsley,extra virgin olive oil,fennel,garlic,garlic,lemon zest,onion,rocket,sea salt,skate,white wine,wine vinegar",0,1,0,0,100.0,8.8,68.67,22.53,523.45,38.23,7.77,28.22,98.11,12.0,3.03,344.2,0.44,6.71,12.79,6.18,1,0,1,1,0,1,1
Raw Mustard Greens Salad With Gruyère And Anchovy Croutons,0,0,0,1,"anchovy,bread cubes,garlic cloves,lemon juice,lemon juice,mustard greens,mustard greens,olive oil",0,0,0,0,32.0,9.74,61.92,28.34,273.77,19.63,4.95,20.22,51.41,2.0,0.69,172.16,0.25,3.42,4.86,0.0,0,0,1,0,0,1,1
Caramelized Onion And Fresh Anchovy Tart,0,0,0,1,"balsamic vinegar,cane sugar,fresh anchovies,olive oil,puff pastry,red onions,rocket,salt and pepper,thyme",0,0,0,0,32.0,9.59,62.55,27.86,576.43,40.39,2.7,40.47,48.67,22.33,1.27,403.53,0.21,7.24,2.92,0.0,0,0,1,0,0,1,1
Anchovy Crostini With Onion-and-raisin Relish,0,0,0,1,"baguette,bay leaf,coarse salt,dry white wine,golden raisins,oil packed tuna,olive oil,onions,pine nuts,radicchio,white-wine vinegar",0,0,0,0,44.0,11.66,31.86,56.48,425.57,14.88,2.93,59.35,55.17,1.08,1.63,817.52,0.46,6.51,4.09,1.03,0,0,0,0,1,1,1
Radish Salad Lugano,0,0,1,0,"anchovies,anchovy paste,apple cider vinegar,black olives,dijon mustard,fresh tarragon,garlic,gruyere cheese,olive oil,parsley,radishes,salt and pepper,scallions",0,0,0,0,24.0,12.58,80.87,6.55,738.23,67.23,7.13,12.26,62.7,76.35,3.58,983.62,0.22,5.98,5.61,0.0,1,0,1,1,0,1,1
Cardoons With Anchovy-garlic Sauce,0,0,1,0,"anchovy filets,butter,garlic,garlic clove,lemon,olive oil,olive oil",0,0,0,0,1.0,3.57,92.71,3.72,210.25,22.29,2.77,2.01,5.06,14.98,0.16,43.01,0.03,0.46,0.53,0.0,1,0,1,1,0,1,1
Anchovy and Herb Marinade,0,0,1,1,"anchovy,capers,flat-leaf parsley,kosher salt,lemon juice,lemon zest,olive oil",0,0,1,0,12.0,1.59,93.81,4.6,197.04,21.24,3.19,2.34,10.3,0.6,0.2,702.2,0.04,0.56,0.77,0.0,1,0,1,1,0,1,1
Beet Greens With Anchovies,0,0,1,0,"anchovies in salt,beet greens,beet greens,beet greens,beet greens,food dye,food dye,garlic,olive oil,parmesan cheese,poppy seeds,radishes,red pepper flakes,roma tomato,water",0,0,0,0,28.0,13.05,68.34,18.61,113.29,8.95,1.91,5.48,31.25,3.4,0.55,471.72,0.12,2.15,2.63,0.0,1,0,1,1,0,1,1
Roasted Cauliflower With Anchovy Bread Crumbs,0,0,0,1,"anchovy,bread crumbs,cauliflower,extra virgin olive oil,extra virgin olive oil,fresh sage leaves,garlic,kosher salt,lemon zest,shallot,sugar",0,1,0,0,81.0,10.97,51.47,37.56,516.46,30.87,4.33,50.68,80.64,6.4,1.82,585.73,0.61,13.07,10.05,0.0,0,0,1,0,0,1,1
Onion Anchovy Galette,0,0,0,0,"anchovy,dried thyme,flour,garlic clove,ice water,olive oil,onions,salt,tomato paste,unsalted butter,unsalted butter",0,0,0,0,2.0,5.18,64.37,30.45,334.26,24.23,1.5,25.78,15.19,52.53,0.39,148.2,0.09,2.86,1.81,0.0,0,0,1,0,0,1,1
Radish Salad With Anchovy Sauce,0,0,1,1,"anchovy,capers,flatleaf parsley,garlic clove,lemon juice,olive oil,radishes,salt",0,0,0,0,1.0,3.98,86.79,9.23,36.07,3.58,0.52,0.86,0.0,0.6,0.0,214.03,0.0,0.29,0.25,0.0,1,0,1,1,0,1,1
"Pizza With Anchovies, Red Onion, And Oregano",0,0,0,0,"anchovies,garlic,olive oil,oregano,parmesan,pizza dough,red chili flakes,red onion,tomato sauce",0,0,0,0,8.0,16.29,52.31,31.4,407.33,24.11,3.48,32.57,26.27,22.8,1.1,1091.22,0.09,5.33,2.52,0.0,0,0,1,0,0,1,1
Anchovy & Italian Parsley Deviled Eggs,0,0,1,1,"anchovy filets,capers,dijon mustard,eggs,mayonnaise,parsley,bell pepper,salt,smoked paprika",0,0,1,1,41.0,24.24,69.92,5.84,626.35,48.02,5.24,9.03,64.44,998.64,4.08,1158.47,0.27,5.01,3.06,0.0,1,0,1,1,0,1,1
Grilled Mozzarella Sandwich With Anchovy-olive Tapenade,0,0,0,0,"anchovy,bread,butter,fresh mozzarella,garlic clove,kosher salt,lemon juice,olive oil,olives,oregano leaves",0,0,0,0,10.0,14.78,66.9,18.32,702.78,53.03,3.17,32.66,53.14,129.75,3.3,1767.2,0.17,4.66,4.3,0.0,1,0,1,1,0,1,1
Pressed Summer Sandwich with Eggs and Anchovies,0,0,0,1,"anchovies,black olives,black pepper,capers,cherry tomatoes,crusty bread,fresh parsley leaves,garlic,hard cooked eggs,olive oil,orange bell pepper,red onion",0,0,0,0,7.0,15.63,44.02,40.35,144.9,7.14,1.16,14.73,12.49,75.08,0.49,252.86,0.06,1.57,1.07,0.0,0,0,0,0,1,1,1
Chicory In Anchovy Sauce,0,0,1,1,"anchovy filets,dandelion greens,dandelion greens,garlic,kosher salt,olive oil,red wine vinegar",0,1,0,0,86.0,6.13,77.17,16.7,245.15,21.99,6.94,10.71,43.1,2.4,0.55,285.57,0.21,0.81,3.98,0.0,1,0,1,1,0,1,1
"Mustard Greens, Shrimp, And Anchovy Pasta",0,0,0,1,"anchovies,coarse salt,juice of lemon,mustard greens,olive oil,red chili flakes,short pasta,shrimp",0,0,0,0,39.0,20.88,34.36,44.76,407.35,15.53,3.8,45.51,68.63,144.68,2.11,652.96,0.41,2.45,3.66,0.0,0,0,0,0,1,1,1
"Orecchiette with Cauliflower, Anchovies and Pistachios",0,0,0,0,"cauliflower,chicken stock,crushed red pepper,flat-leaf parsley,oil packed tuna,orecchiette,parmesan cheese,salt and pepper,unsalted butter,unsalted pistachios",0,0,0,0,20.0,13.44,38.92,47.64,556.71,24.36,1.05,67.1,75.32,48.25,1.97,460.29,0.44,5.73,5.63,0.0,0,0,0,0,1,1,1
Roasted Cauliflower With Anchovy Vinaigrette,0,0,1,1,"anchovy,cauliflower,garlic cloves,lemon,olive oil,parsley,salt and pepper",0,0,0,0,49.0,6.94,76.56,16.5,309.83,27.98,4.13,13.58,37.5,3.6,0.73,265.49,0.11,4.72,5.05,0.0,1,0,1,1,0,1,1
Roasted Red Peppers With Anchovies And Olive Oil,0,0,1,1,"anchovy,garlic,olive oil,olive oil,red bell peppers,red bell peppers",0,1,0,0,84.0,8.68,53.83,37.49,129.76,7.79,4.16,12.21,25.64,2.4,0.57,12.37,0.04,8.34,4.18,0.0,0,0,1,0,0,1,1
Tomato And Boquerones Salad With Garlicky Breadcrumbs,0,0,1,1,"anchovy,basil leaves,extra virgin olive oil,pepper,red onion,sherry vinegar,tomato",0,0,0,0,11.0,11.86,74.86,13.28,102.57,8.71,1.52,3.48,13.02,7.2,0.33,16.14,0.07,2.01,0.92,0.0,1,0,1,1,0,1,1
Hard-Cooked Eggs with Crisp Anchovy Crumbs,0,0,0,0,"anchovy fillets,brioche,eggs,garlic,lemon zest,mayonnaise,parsley,unsalted butter",0,0,0,0,1.0,22.09,72.97,4.94,71.22,5.69,0.41,0.87,0.0,110.75,0.38,64.86,0.02,0.16,0.0,0.0,1,0,1,1,0,1,1
Acciughe Con Salsa Verde (anchovies In Green Sauce),1,0,1,1,"basil,flat leaf parsley,garlic,hard-boiled egg,olive oil,parsley,red chile flakes,vinegar,white wine",0,0,0,0,12.0,4.94,92.3,2.76,151.25,15.39,2.21,1.03,5.47,46.63,0.22,20.6,0.0,0.25,0.25,0.39,1,0,1,1,0,1,1
California Artichokes With Anchovy Mayonnaise,0,0,1,1,"anchovy,artichokes,bay leaves,dijon mustard,egg yolks,fresh parsley,fresh thyme,garlic,garlic cloves,kosher salt,kosher salt,lemon juice,lemons,low sodium chicken broth,olive oil,white wine,white wine vinegar",0,0,0,0,28.0,18.66,42.99,38.35,281.65,12.69,1.79,25.46,98.55,100.05,1.38,637.78,0.48,3.75,8.92,6.18,0,0,0,0,1,1,1
"Anchovy, Little Gem, And Tomato Salad",0,0,1,1,"anchovy,curly parsley,vinaigrette,kosher salt,lettuce,olive oil,vine ripened tomatoes",0,0,1,0,31.0,9.58,73.43,16.99,164.55,14.02,2.43,7.3,25.04,7.2,0.54,218.61,0.13,4.95,2.25,0.0,1,0,1,1,0,1,1
Anchovy and Piquillo Pepper Bruschetta,0,0,0,1,"anchovies,bread,caperberries,garlic clove,olive oil,piquillo peppers,sea-salt",0,0,0,0,2.0,3.06,85.25,11.69,151.58,14.3,2.05,4.41,0.0,2.4,0.0,344.23,0.0,1.12,0.0,0.0,1,0,1,1,0,1,1
"Endive, Fennel And Parmesan With Anchovy Date Dressing",0,0,1,1,"anchovy,belgian endive,bell pepper,dates,fennel bulb,garlic,olive oil,orange,sherry vinegar",0,0,0,0,46.0,6.11,63.58,30.31,257.5,18.85,3.87,20.22,33.29,4.8,0.58,44.0,0.13,10.65,6.0,0.0,0,0,1,0,0,1,1
Tomato-and-Anchovy Salad with Garlic Cream,0,0,1,0,"aged balsamic vinegar,anchovy,basil leaves,garlic cloves,heirloom tomatoes,milk,olive oil,salt and pepper",0,0,0,0,30.0,10.39,66.89,22.72,194.44,15.06,3.26,11.51,33.78,8.73,0.72,225.84,0.18,7.16,2.84,0.0,0,0,1,0,0,1,1
Port-Marinated Pork with Prunes and Anchovies,0,0,0,1,"anchovy,boneless pork loin roast,flour,garlic cloves,lemon juice,lemon zest,olive oil,port,prunes,salt and pepper",0,0,0,0,39.0,48.74,25.73,25.53,413.48,10.54,0.75,23.53,67.65,123.87,3.73,299.59,0.23,12.49,2.02,6.12,0,1,0,0,1,1,1
Roasted Peppers With Anchovies,1,1,1,1,"bell peppers,fresh flat-leaf parsley,garlic clove,olive oil,olive oil,red wine vinegar,salt",0,0,0,0,43.0,3.58,75.0,21.42,112.71,9.47,2.88,6.09,12.36,0.0,0.26,198.56,0.0,4.14,2.1,0.0,1,0,1,1,0,1,1
Pasta With Tonnato And Tomato,0,0,0,1,"anchovies,capers,dijon mustard,fresh parsley,heirloom tomatoes,lemon juice,mayonnaise,pasta,salt,tuna",0,0,0,0,21.0,17.67,30.91,51.42,560.27,19.16,1.5,71.74,74.58,31.74,1.93,618.73,0.36,5.03,4.06,0.0,0,0,0,0,1,1,1
Grilled Broccoli with Anchovy Dressing,0,0,1,1,"broccoli,lemon juice,oil packed tuna,olive oil,rosemary,salt and pepper",0,1,0,0,90.0,10.67,65.03,24.3,243.23,19.04,4.39,16.01,49.1,0.36,0.96,276.22,0.12,4.2,5.94,0.0,0,0,1,0,0,1,1
"Balsamic, Caper, And Anchovy Marinade",0,0,1,1,"anchovies,balsamic vinegar,black peppercorns,capers,coarse salt,fresh flat-leaf parsley,lemon juice,lemon zest,olive oil,red onion",0,0,0,0,13.0,2.02,87.36,10.62,731.78,72.94,10.73,19.94,35.1,4.8,0.55,2593.18,0.18,9.09,3.64,0.0,1,0,1,1,0,1,1
Egg-Free Avocado Caesar Salad,0,0,1,1,"anchovy paste,avocado,bell pepper,croutons,dijon mustard,garlic cloves,lemon juice,lime wedge,romaine lettuce,sea salt,water,unrefined",0,1,0,0,100.0,11.33,45.35,43.32,102.95,5.64,2.05,12.13,35.09,0.85,0.69,256.75,0.14,4.74,6.11,0.0,0,0,0,0,1,1,1
Broccoli & Burrata,0,0,1,0,"anchovy,broccoli,burrata,capers,chili,garlic,lemon,olive oil,olive oil,onion,pepper,rosemary,salt,thyme",0,1,0,0,76.0,7.1,72.85,20.05,597.94,51.89,9.92,32.14,86.3,2.76,1.56,636.54,0.28,9.26,11.09,0.0,1,0,1,1,0,1,1
"Sautéed Shrimp with Green Olives, Scallions and Anchovies",0,0,1,0,"anchovy fillets,dry white wine,garlic cloves,greek olives,lemon juice,olive oil,salt and pepper,scallions,shrimp,unsalted butter",0,0,0,0,8.0,44.2,51.73,4.07,267.55,14.77,3.38,2.61,51.53,340.81,2.76,1416.51,0.39,0.63,0.87,1.03,1,1,1,1,0,1,1
Pasta Puttanesca,0,0,0,0,"anchovy fillets,canned tomatoes,capers,fresh basil leaves,garlic,kalamata olive,olive oil,parmigiano reggiano cheese,pepper,red pepper flakes,short pasta,tomato paste",0,1,0,0,60.0,14.34,18.55,67.11,608.31,12.75,4.77,103.82,116.75,8.67,2.56,781.15,0.83,12.92,8.72,0.0,0,0,0,0,1,1,1
Egg and Anchovy Crostini,0,0,0,1,"anchovy,baguette,chive,eggs,flat-leaf parsley,lemon,olive oil,bell pepper,sea salt",0,0,0,0,18.0,17.12,29.95,52.93,284.01,9.39,2.27,37.33,34.82,123.47,1.3,634.44,0.18,4.13,3.68,0.0,0,0,0,0,1,1,1
Greek Salad Skewers with Anchovy Aioli,0,0,1,0,"cherry tomatoes,cucumber,feta cheese,garlic clove,mayonnaise,oil packed tuna,olive oil,red wine vinegar",0,0,0,0,0.0,9.35,81.08,9.57,49.25,4.49,0.32,1.19,0.0,6.92,0.23,92.41,0.02,0.87,0.0,0.0,1,0,1,1,0,1,1
Spaghetti with Anchovies and Breadcrumbs,0,0,0,0,"black pepper,canned anchovy,crushed red pepper,extravirgin olive oil,fat-free less-sodium chicken broth,fresh parsley,garlic,italian bread,parmesan cheese,salt,spaghetti",0,0,0,0,7.0,15.35,19.05,65.6,368.35,7.7,0.53,59.67,46.48,6.85,1.38,466.25,0.23,3.61,2.7,0.0,0,0,0,0,1,1,1
Salad with Parmigiano-Reggiano and anchovy dressing,0,0,1,0,"anchovy,anchovy,arugula,black pepper,butter lettuce,cooking oil,food dye,frisee,garlic clove,green grams,kosher salt,kosher salt,lemon juice,olive oil,parmigiano reggiano,parmigiano reggiano,red belgian endive,red wine vinegar,salad mix,salad mix,salad mix,salad mix,salad mix,salad mix,sourdough starter,copyright,don bartletti / los angeles times,education,entertainment,loading,local,most popular,nancy silverton leads a master class in salads,opinion,place an ad,privacy policy,sports,state primary,total time: minutes,© 2016,°",0,0,0,0,36.0,7.94,79.9,12.16,475.56,43.81,7.94,15.01,72.77,9.99,1.36,702.78,0.38,1.28,4.45,0.0,1,0,1,1,0,1,1
Anchovy and olive bruschetta,0,0,0,0,"anchovies in olive oil,black olives,dried herbs,extra virgin olive oil,garlic clove,herbs,italian bread,lamb rack,london broil,mozzarella cheese,olive,ready-to-serve Asian fried rice,salt and pepper,toast bread,tomato sauce,in,season,the same side of each,these salty canapés are ideal",0,0,0,0,25.0,22.83,46.47,30.7,1075.04,55.14,4.26,81.95,77.08,139.41,9.21,2332.48,0.3,21.73,5.43,0.0,0,0,0,0,1,1,1
Fried Green Tomatoes with Anchovy and Lemon,0,0,0,1,"anchovy fillets,bread crumbs,cayenne pepper,eggs,flour,green tomatoes,kosher salt,lemon wedges,olive oil,water",0,0,0,0,15.0,11.14,46.72,42.14,319.55,16.9,2.8,34.3,33.9,55.13,0.82,390.04,0.25,8.58,3.34,0.0,0,0,0,0,1,1,1
Chicken Caesar Salad,0,0,1,1,"dijon mustard,egg,garlic clove,lemon juice,oil packed tuna,olive oil,worcestershire sauce",0,0,0,0,2.0,3.21,94.61,2.18,533.4,57.04,8.1,2.96,7.12,110.14,0.45,105.03,0.04,0.84,0.0,0.0,1,0,1,1,0,1,1
Tomatoes With Anchovy Dressing,0,0,1,1,"anchovy,extra virgin olive oil,flat-leaf parsley,garlic,olive oil,salt and pepper,yellow tomatoes",0,0,0,0,4.0,3.37,95.42,1.21,132.3,14.26,2.05,0.4,0.0,3.0,0.0,200.75,0.0,0.02,0.0,0.0,1,0,1,1,0,1,1
Salsa Verde,0,0,1,1,"anchovies,capers,extra virgin olive oil,fresh parsley,garlic,red pepper flakes,white wine vinegar",0,0,0,0,13.0,1.8,96.26,1.94,503.16,54.75,8.63,2.48,10.93,4.8,0.32,156.91,0.07,0.22,1.02,0.0,1,0,1,1,0,1,1
Spaghetti with Fried Capers and Anchovies,0,0,0,1,"anchovy,capers,crushed red pepper,flat-leaf parsley,garlic clove,lemon juice,lemon zest,olive oil,olive oil,spaghetti",0,0,0,0,40.0,8.86,45.27,45.87,758.72,38.31,5.68,87.35,74.76,3.6,1.88,628.08,0.44,3.46,4.86,0.0,0,0,0,0,1,1,1
White Anchovy and Crisp Pita Bread Salad,0,0,0,0,"anchovies,belgian endives,garlic clove,olive oil,pita breads,salt and pepper,shallot,sour cream,unsalted butter,white balsamic vinegar",0,0,0,0,1.0,6.32,85.87,7.81,247.05,23.99,1.09,4.91,14.52,59.73,0.47,247.85,0.06,2.65,1.05,0.0,1,0,1,1,0,1,1
Burrata Salad,0,0,1,0,"anchovies,bay leaves,buffalo mozzarella,cauliflower,chilies,fresh ginger,garlic,lemon juice,olive oil,red bell pepper,red onion,thyme,tomato,white balsamic vinegar,whole black pepper",0,0,0,0,39.0,10.08,53.9,36.02,100.8,6.44,1.12,9.68,20.59,2.76,0.31,35.15,0.08,4.49,2.28,0.0,0,0,1,0,0,1,1
"Pickled Pepper, Anchovy & Egg Sandwich On Rye",0,0,0,1,"anchovy fillets,fresh parsley,hard-boiled eggs,pepper,rye bread,shallot",0,0,0,0,16.0,19.75,26.75,53.5,256.86,7.56,0.76,34.02,35.9,187.7,1.37,452.72,0.15,4.03,4.3,0.0,0,0,0,0,1,1,1
Cook the Book: Artichokes Basted with Anchovy Butter,0,0,1,0,"anchovy,artichokes,flat-leaf parsley,fleur de sel,garlic cloves,ground pepper,kosher salt,lemon juice,lemons,unsalted butter,vegetable oil",0,0,0,0,6.0,8.1,64.53,27.37,237.71,18.75,0.92,17.89,82.82,31.68,0.73,513.6,0.33,2.36,8.19,0.0,0,0,1,0,0,1,1
Sautéed Radicchio,1,1,1,1,"black pepper,garlic,kosher salt,olive oil,oregano,radicchio,red wine vinegar",0,0,0,0,39.0,4.63,77.46,17.91,200.36,18.03,6.41,9.38,29.71,0.0,0.99,323.59,0.51,1.01,3.01,0.0,1,0,1,1,0,1,1
Oven Puttanesca,0,0,0,1,"anchovy,capers,garlic,kalamata olives,kosher salt,olive oil,pasta,red pepper flakes,tomatoes",0,1,0,0,92.0,9.23,44.63,46.14,1296.94,65.32,12.87,151.94,161.85,7.2,3.65,1292.57,0.94,17.94,13.75,0.0,0,0,0,0,1,1,1
